iter	Passed	Remaining
420	2408	3312
421	2414	3306
422	2419	3300
423	2425	3294
424	2430	3288
425	2436	3282
426	2441	3276
427	2447	3270
428	2452	3264
429	2458	3258
430	2463	3252
431	2468	3245
432	2474	3239
433	2479	3234
434	2485	3228
435	2491	3222
436	2496	3216
437	2503	3211
438	2508	3206
439	2514	3200
440	2520	3194
441	2525	3188
442	2531	3182
443	2536	3176
444	2542	3171
445	2549	3166
446	2555	3161
447	2561	3155
448	2566	3149
449	2571	3143
450	2577	3137
451	2582	3131
452	2588	3125
453	2593	3119
454	2599	3113
455	2604	3107
456	2610	3101
457	2616	3096
458	2622	3090
459	2627	3084
460	2633	3078
461	2638	3072
462	2643	3066
463	2649	3060
464	2654	3054
465	2660	3048
466	2665	3042
467	2670	3035
468	2676	3030
469	2682	3025
470	2687	3018
471	2693	3012
472	2699	3007
473	2704	3001
474	2709	2995
475	2714	2988
476	2719	2982
477	2725	2976
478	2731	2971
479	2737	2965
480	2742	2959
481	2747	2952
482	2753	2946
483	2758	2940
484	2763	2934
485	2769	2928
486	2774	2922
487	2780	2917
488	2785	2911
489	2791	2905
490	2796	2899
491	2802	2893
492	2807	2887
493	2812	2881
494	2818	2875
495	2824	2869
496	2830	2864
497	2835	2858
498	2841	2852
499	2847	2847
500	2852	2841
501	2858	2835
502	2864	2830
503	2870	2824
504	2875	2818
505	2881	2812
506	2886	2806
507	2892	2800
508	2897	2795
509	2904	2790
510	2910	2784
511	2930	2793
512	2936	2787
513	2942	2782
514	2948	2777
515	2954	2771
516	2960	2766
517	2966	2760
518	2972	2754
519	2978	2749
520	2984	2743
521	2990	2738
522	2996	2732
523	3002	2727
524	3008	2721
525	3014	2716
526	3020	2711
527	3026	2705
528	3032	2700
529	3038	2694
530	3045	2689
531	3051	2684
532	3057	2678
533	3063	2673
534	3070	2668
535	3076	2662
536	3082	2657
537	3088	2652
538	3094	2646
539	3100	2641
540	3107	2636
541	3113	2630
542	3118	2624
543	3125	2619
544	3131	2614
545	3137	2608
546	3144	2603
547	3156	2603
548	3162	2597
549	3168	2592
550	3174	2587
551	3180	2581
552	3186	2575
553	3193	2570
554	3199	2565
555	3205	2559
556	3210	2553
557	3216	2548
558	3223	2542
559	3230	2538
560	3236	2532
561	3243	2527
562	3249	2522
563	3255	2516
564	3261	2511
565	3268	2506
566	3274	2500
567	3281	2495
568	3287	2489
569	3293	2484
570	3300	2479
571	3306	2473
572	3312	2468
573	3318	2462
574	3324	2457
575	3330	2451
576	3336	2446
577	3342	2440
578	3347	2434
579	3353	2428
580	3359	2422
581	3365	2416
582	3370	2411
583	3376	2404
584	3381	2399
585	3387	2392
586	3392	2386
587	3398	2381
588	3404	2375
589	3410	2369
590	3416	2364
591	3421	2358
592	3427	2352
593	3433	2346
594	3438	2340
595	3444	2334
596	3451	2329
597	3457	2324
598	3463	2318
599	3468	2312
600	3474	2306
601	3480	2301
602	3486	2295
603	3492	2289
604	3498	2283
605	3503	2278
606	3509	2272
607	3515	2266
608	3521	2260
609	3527	2255
610	3533	2249
611	3539	2243
612	3544	2237
613	3550	2231
614	3555	2225
615	3560	2219
616	3566	2213
617	3572	2207
618	3577	2201
619	3583	2196
620	3588	2190
621	3594	2184
622	3600	2178
623	3605	2172
624	3611	2167
625	3617	2161
626	3623	2155
627	3628	2149
628	3634	2143
629	3641	2138
630	3646	2132
631	3652	2126
632	3657	2120
633	3663	2115
634	3669	2109
635	3675	2103
636	3681	2098
637	3687	2092
638	3693	2086
639	3698	2080
640	3704	2074
641	3709	2068
642	3715	2062
643	3722	2057
644	3728	2052
645	3735	2046
646	3742	2041
647	3748	2036
648	3754	2030
649	3760	2024
650	3766	2019
651	3772	2013
652	3778	2008
653	3784	2002
654	3790	1996
655	3797	1991
656	3803	1985
657	3809	1980
658	3815	1974
659	3822	1968
660	3828	1963
661	3834	1957
662	3840	1951
663	3845	1945
664	3850	1939
665	3856	1934
666	3862	1928
667	3867	1922
668	3873	1916
669	3878	1910
670	3883	1904
671	3889	1898
672	3894	1892
673	3899	1886
674	3905	1880
675	3911	1874
676	3916	1868
677	3922	1862
678	3927	1856
679	3932	1850
680	3938	1844
681	3944	1839
682	3950	1833
683	3956	1827
684	3962	1822
685	3968	1816
686	3973	1810
687	3979	1804
688	3985	1798
689	3990	1792
690	3997	1787
691	4003	1781
692	4008	1775
693	4014	1770
694	4020	1764
695	4025	1758
696	4031	1752
697	4037	1746
698	4043	1741
699	4049	1735
700	4055	1729
701	4061	1723
702	4066	1717
